,text,labels,all_span_aspect
10,Chỉ cần pin trâu sóng khỏe Bắc wifi mạnh là OK Chỉ cần vậy pin sử dụng 2e2 3 ngày là đc,[],[]
11,"Máy màn hình lớn , nhận diện khuôn mặt nhanh ( trong đk trời sáng ) ,cấu hình tạm ổn cho các tác vụ cơ bản , pin trâu ,...NV TGDD Nhiệt Tình . Còn CTKM tặng tai nghe thì TGDD chưa làm tốt , ra mua máy thì chi nhánh tai nghe khg có hàng , phải đợi 10-15 ngày ( TGDD rút kinh nghiệm về các CTKM kiểu như vậy )","[[0, 16, 'SCREEN#POSITIVE'], [19, 44, 'FEATURES#POSITIVE'], [69, 106, 'PERFORMANCE#NEUTRAL'], [109, 117, 'BATTERY#POSITIVE'], [122, 257, 'SER&ACC#NEUTRAL']]","[('Máy màn hình lớn', 'SCREEN#POSITIVE'), ('nhận diện khuôn mặt nhanh', 'FEATURES#POSITIVE'), ('cấu hình tạm ổn cho các tác vụ cơ bản', 'PERFORMANCE#NEUTRAL'), ('pin trâu', 'BATTERY#POSITIVE'), ('NV TGDD Nhiệt Tình . Còn CTKM tặng tai nghe thì TGDD chưa làm tốt , ra mua máy thì chi nhánh tai nghe khg có hàng , phải đợi 10-15 ngày', 'SER&ACC#NEUTRAL')]"
12,"Điện Máy Xanh mở bán thêm nhưMáy Ảnh Gopro ... Có những sản phẩm đó thì tuyệt vời , đất khách",[],[]
13,Mới mua sáng nay. Nhân viên phục vụ nhiệt tình. Test qua máy với tầm giá này thì ổn. Có điều gọi zalo 10 phút là máy nóng,"[[18, 46, 'SER&ACC#POSITIVE'], [57, 83, 'GENERAL#POSITIVE'], [93, 121, 'PERFORMANCE#NEGATIVE']]","[('Nhân viên phục vụ nhiệt tình', 'SER&ACC#POSITIVE'), ('máy với tầm giá này thì ổn', 'GENERAL#POSITIVE'), ('gọi zalo 10 phút là máy nóng', 'PERFORMANCE#NEGATIVE')]"
14,Máy ok về mọi thứ.Camera thì ko nét lấm!Ae nên mua và trải nghiệm!Cũng tùy ng cảm nhận khác nhau th!!! Riêng tôi ok!,"[[0, 17, 'GENERAL#POSITIVE'], [18, 39, 'CAMERA#NEGATIVE'], [103, 115, 'GENERAL#POSITIVE']]","[('Máy ok về mọi thứ', 'GENERAL#POSITIVE'), ('Camera thì ko nét lấm', 'CAMERA#NEGATIVE'), ('Riêng tôi ok', 'GENERAL#POSITIVE')]"
15,"Thiết kế đẹp , kiểu dáng sang trọng. Nhất là pin, trâu lắm,tư vấn nhiệt tình. Tóm lại mới thứ đều ok","[[0, 35, 'DESIGN#POSITIVE'], [37, 58, 'BATTERY#POSITIVE'], [59, 76, 'SER&ACC#POSITIVE'], [78, 100, 'GENERAL#POSITIVE']]","[('Thiết kế đẹp , kiểu dáng sang trọng', 'DESIGN#POSITIVE'), ('Nhất là pin, trâu lắm', 'BATTERY#POSITIVE'), ('tư vấn nhiệt tình', 'SER&ACC#POSITIVE'), ('Tóm lại mới thứ đều ok', 'GENERAL#POSITIVE')]"
16,"Mình mới mua SS A70 được khoảng 6 tháng ko bị rơi vào nước cũng như xuống sàn. Tối vẫn chơi games sau đó đi ngủ thì sặc pin, sáng dậy ko lên màn hình. Vẫn có chuông báo và cuộc gọi đến. Ra TTBH SS, họ tháo ra thấy quỳ đổi màu nên ko bảo hành, họ bảo hỏng màn hình. Mình đồng ý thay màn hình thì vẫn ko lên, TTBH bảo thay cả main mà ko bảo hành.",[],[]
17,"Wifi hơi yếu, loa hơi nhỏ, chơi liên quân tạm ổn trung bình không nóng máy 1 trận nhiều nhất 6 %pin. Tốt trong tầm giá, sạc hơi nóng máy. Giá cả tốt rồi","[[0, 25, 'FEATURES#NEGATIVE'], [27, 74, 'PERFORMANCE#NEUTRAL'], [74, 99, 'BATTERY#POSITIVE'], [101, 104, 'GENERAL#POSITIVE'], [138, 152, 'PRICE#POSITIVE'], [120, 136, 'BATTERY#NEGATIVE']]","[('Wifi hơi yếu, loa hơi nhỏ', 'FEATURES#NEGATIVE'), ('chơi liên quân tạm ổn trung bình không nóng máy', 'PERFORMANCE#NEUTRAL'), (' 1 trận nhiều nhất 6 %pin', 'BATTERY#POSITIVE'), ('Tốt', 'GENERAL#POSITIVE'), ('Giá cả tốt rồi', 'PRICE#POSITIVE'), ('sạc hơi nóng máy', 'BATTERY#NEGATIVE')]"
18,Máy dùng chán thật sự lỗi cảm ứng liên tục tắt màn hình rồi bật lên lại dc một lúc sau lại bị wifi vô cùng kém cách xa cục phát 3-4 mét là tịt luôn chắc lần sau ko dám sử dung điện thoại của hãng này nữa,"[[0, 21, 'GENERAL#NEGATIVE'], [22, 147, 'FEATURES#NEGATIVE']]","[('Máy dùng chán thật sự', 'GENERAL#NEGATIVE'), ('lỗi cảm ứng liên tục tắt màn hình rồi bật lên lại dc một lúc sau lại bị wifi vô cùng kém cách xa cục phát 3-4 mét là tịt luôn', 'FEATURES#NEGATIVE')]"
19,"ChấT lượng sản phảm tuyệt vời, chế độ bảo hành tốt, nhân viên phục vụ chu đáo tận tình","[[0, 29, 'GENERAL#POSITIVE'], [31, 86, 'SER&ACC#POSITIVE']]","[('ChấT lượng sản phảm tuyệt vời', 'GENERAL#POSITIVE'), ('chế độ bảo hành tốt, nhân viên phục vụ chu đáo tận tình', 'SER&ACC#POSITIVE')]"
20,Rất tuyệt sài chơi game rất tốt à ko có mật khẩu vân tay thôi chụp hình cũng rát đẹp cầm cũng sướng tay,"[[10, 31, 'PERFORMANCE#POSITIVE'], [32, 61, 'FEATURES#NEGATIVE'], [62, 84, 'CAMERA#POSITIVE'], [85, 103, 'DESIGN#POSITIVE']]","[('sài chơi game rất tốt', 'PERFORMANCE#POSITIVE'), ('à ko có mật khẩu vân tay thôi', 'FEATURES#NEGATIVE'), ('chụp hình cũng rát đẹp', 'CAMERA#POSITIVE'), ('cầm cũng sướng tay', 'DESIGN#POSITIVE')]"
21,"Mới mua máy, sản phẩm đẹp và bắt mắt. Nhân viên tư vấn nhiệt tình. Lại được giảm giá 650k nữa. Rất hài lòng.","[[13, 36, 'DESIGN#POSITIVE'], [38, 65, 'SER&ACC#POSITIVE'], [67, 93, 'PRICE#POSITIVE'], [95, 107, 'GENERAL#POSITIVE']]","[('sản phẩm đẹp và bắt mắt', 'DESIGN#POSITIVE'), ('Nhân viên tư vấn nhiệt tình', 'SER&ACC#POSITIVE'), ('Lại được giảm giá 650k nữa', 'PRICE#POSITIVE'), ('Rất hài lòng', 'GENERAL#POSITIVE')]"
22,Máy ok nhưng thỉnh thoảng văng messages ra game mượt đề nghị cập nhật cảm ứng tốt hơn,"[[0, 6, 'GENERAL#POSITIVE'], [13, 52, 'PERFORMANCE#NEUTRAL'], [53, 85, 'FEATURES#NEGATIVE']]","[('Máy ok', 'GENERAL#POSITIVE'), ('thỉnh thoảng văng messages ra game mượt', 'PERFORMANCE#NEUTRAL'), ('đề nghị cập nhật cảm ứng tốt hơn', 'FEATURES#NEGATIVE')]"
23,"Máy dùng rất tốt, cam,cấu hình đều ổn. Nhưng nếu tải game trên web thì hay bị lỗi ứng dụng tự đóng,","[[0, 16, 'GENERAL#POSITIVE'], [18, 21, 'CAMERA#POSITIVE'], [22, 37, 'PERFORMANCE#POSITIVE'], [49, 98, 'PERFORMANCE#NEGATIVE']]","[('Máy dùng rất tốt', 'GENERAL#POSITIVE'), ('cam', 'CAMERA#POSITIVE'), ('cấu hình đều ổn', 'PERFORMANCE#POSITIVE'), ('tải game trên web thì hay bị lỗi ứng dụng tự đóng', 'PERFORMANCE#NEGATIVE')]"
24,"Mình mua xài đc 1 tháng, Chụp hình đẹp, lỗi độ sáng màn hình, mình có mang ra TGDD hỏi thì nv reset lại máy, vẫn bị lỗi, chắc tại máy, cảm ứng k nhạy. Tạm được","[[25, 38, 'CAMERA#POSITIVE'], [40, 60, 'SCREEN#NEGATIVE'], [135, 149, 'FEATURES#NEGATIVE'], [151, 159, 'GENERAL#NEUTRAL']]","[('Chụp hình đẹp', 'CAMERA#POSITIVE'), ('lỗi độ sáng màn hình', 'SCREEN#NEGATIVE'), ('cảm ứng k nhạy', 'FEATURES#NEGATIVE'), ('Tạm được', 'GENERAL#NEUTRAL')]"
25,Sản phẩm hút sóng yếu. Camara bị rò rỉ điện khi sạc thất vọng với sản phẩm này...,"[[0, 21, 'FEATURES#NEGATIVE'], [23, 78, 'DESIGN#NEGATIVE']]","[('Sản phẩm hút sóng yếu', 'FEATURES#NEGATIVE'), ('Camara bị rò rỉ điện khi sạc thất vọng với sản phẩm này', 'DESIGN#NEGATIVE')]"
26,"Máy đẹp, camera chụp ảnh đẹp, vân tay siêu nhạy, mượt mà trong mọi thao tác, xuất sắc!","[[0, 9, 'DESIGN#POSITIVE'], [11, 33, 'CAMERA#POSITIVE'], [35, 53, 'FEATURES#POSITIVE'], [55, 85, 'PERFORMANCE#POSITIVE']]","[('Máy đẹp', 'DESIGN#POSITIVE'), ('camera chụp ảnh đẹp', 'CAMERA#POSITIVE'), ('vân tay siêu nhạy', 'FEATURES#POSITIVE'), ('mượt mà trong mọi thao tác', 'PERFORMANCE#POSITIVE')]"
27,"đã mua máy ở siêu thị ấp chánh,chợ đức lập máy đẹp,chơi game rất mượt,nhân viên rất nhiệt tình","[[43, 50, 'DESIGN#POSITIVE'], [51, 69, 'PERFORMANCE#POSITIVE'], [70, 94, 'BATTERY#POSITIVE']]","[('máy đẹp', 'DESIGN#POSITIVE'), ('chơi game rất mượt', 'PERFORMANCE#POSITIVE'), ('nhân viên rất nhiệt tình', 'BATTERY#POSITIVE')]"
28,Mua ngay 8/3 xài tới nai tôt mình ko chơi game chỉ Zalo FB yutout wf mạnh lam 4 g khỏi chê luôn còn bin xài vừa vừa tới 2 ngai ae nên mua,"[[0, 28, 'GENERAL#POSITIVE'], [51, 95, 'FEATURES#POSITIVE'], [95, 126, 'BATTERY#POSITIVE'], [127, 137, 'GENERAL#POSITIVE']]","[('Mua ngay 8/3 xài tới nai tôt', 'GENERAL#POSITIVE'), ('Zalo FB yutout wf mạnh lam 4 g khỏi chê luôn', 'FEATURES#POSITIVE'), (' còn bin xài vừa vừa tới 2 ngai', 'BATTERY#POSITIVE'), ('ae nên mua', 'GENERAL#POSITIVE')]"
29,Em mua đc gần tháng rồi loa ngoài lâu lâu nghe nhạc bì rè rè nghe khó chịu lắm vs pin tụt hơi nhanh.cn lại khá ổn.,"[[24, 78, 'FEATURES#NEGATIVE'], [82, 99, 'BATTERY#NEGATIVE'], [100, 113, 'GENERAL#POSITIVE']]","[('loa ngoài lâu lâu nghe nhạc bì rè rè nghe khó chịu lắm', 'FEATURES#NEGATIVE'), ('pin tụt hơi nhanh', 'BATTERY#NEGATIVE'), ('cn lại khá ổn', 'GENERAL#POSITIVE')]"
30,"Mình mới mua hôm 07/03. Thấy ngon lành, tư vấn nhiệt tình, cảm ơn rối rít. Cũng cái thứ 4 oppo rồi. Dòng máy này mình rất hài lòng, nên mua. Có 3 suất mua khuyến mãi nữa, mà phải đồng hồ mới chịu! Sao không để khách tự chọn hoặc cái gì đó liên quan đến cái điện thoại vẫn hay hơn. Mình nghĩ vậy.","[[24, 38, 'GENERAL#POSITIVE'], [40, 73, 'SER&ACC#POSITIVE']]","[('Thấy ngon lành', 'GENERAL#POSITIVE'), ('tư vấn nhiệt tình, cảm ơn rối rít', 'SER&ACC#POSITIVE')]"
31,"Cái gì cũng tốt,nhất là pin trâu và thứ 2 là màn hình dài,tiếc thay đt màn hình chỉ dừng bị lại ở mức HD+","[[0, 15, 'GENERAL#POSITIVE'], [24, 32, 'BATTERY#POSITIVE'], [45, 105, 'SCREEN#NEUTRAL']]","[('Cái gì cũng tốt', 'GENERAL#POSITIVE'), ('pin trâu', 'BATTERY#POSITIVE'), ('màn hình dài,tiếc thay đt màn hình chỉ dừng bị lại ở mức HD+', 'SCREEN#NEUTRAL')]"
32,5tr5 cấu hình ngoại hình ko chê vào đâu được.may nóng ngày đầu thôi.qua ngày sau chơi ko thấy nóng nữa.camera chụp rất đẹp,"[[0, 4, 'PRICE#NEUTRAL'], [5, 13, 'PERFORMANCE#POSITIVE'], [14, 44, 'DESIGN#POSITIVE'], [45, 102, 'PERFORMANCE#NEUTRAL'], [103, 122, 'CAMERA#POSITIVE']]","[('5tr5', 'PRICE#NEUTRAL'), ('cấu hình', 'PERFORMANCE#POSITIVE'), ('ngoại hình ko chê vào đâu được', 'DESIGN#POSITIVE'), ('may nóng ngày đầu thôi.qua ngày sau chơi ko thấy nóng nữa', 'PERFORMANCE#NEUTRAL'), ('camera chụp rất đẹp', 'CAMERA#POSITIVE')]"
33,Máy xài dc mấy tháng rồi .Nhận diện vân tay tệ .. Nhận diện khuôn mặt lúc dc lúc k.. lỗi màn hình khi mở máy .. màn hình vẫn tối thui cho đến khi bấm nút nguồn 2 lần . Bật chế độ trong túi nhưng vẫn bị cảm biến mở màn hình.,"[[26, 82, 'FEATURES#NEGATIVE'], [85, 168, 'PERFORMANCE#NEGATIVE']]","[('Nhận diện vân tay tệ .. Nhận diện khuôn mặt lúc dc lúc k', 'FEATURES#NEGATIVE'), ('lỗi màn hình khi mở máy .. màn hình vẫn tối thui cho đến khi bấm nút nguồn 2 lần', 'PERFORMANCE#NEGATIVE')]"
34,Mới mua 13tr900 giờ giãm nữa😒máy sạc nhanh mà s nóng vậy.pin củng dần dần mau hết,[],[]
35,Máy cũng ổn nhưng chơi game + quay vidieo cùng một lúc thì rất là đơ. Chắc chắn sẽ trả lại hàng và đổi sang máy oppo a3s,"[[0, 11, 'GENERAL#NEUTRAL'], [18, 68, 'PERFORMANCE#NEGATIVE']]","[('Máy cũng ổn', 'GENERAL#NEUTRAL'), ('chơi game + quay vidieo cùng một lúc thì rất là đơ', 'PERFORMANCE#NEGATIVE')]"
36,Nhân viên tư vấn nhiệt tình.Máy dùng khá là ok phù hợp với giá tiền mình bỏ ra.Máy ram1g không trách khỏi lag.,"[[0, 27, 'SER&ACC#POSITIVE'], [28, 46, 'GENERAL#POSITIVE'], [47, 78, 'PRICE#POSITIVE'], [79, 109, 'PERFORMANCE#NEGATIVE']]","[('Nhân viên tư vấn nhiệt tình', 'SER&ACC#POSITIVE'), ('Máy dùng khá là ok', 'GENERAL#POSITIVE'), ('phù hợp với giá tiền mình bỏ ra', 'PRICE#POSITIVE'), ('Máy ram1g không trách khỏi lag', 'PERFORMANCE#NEGATIVE')]"
37,Mình mới mua được 1 tuần cảm thấy tất cả đều ổn nhưng mà thắc mắc tí bạn mình mượn máy chơi không hiểu sao vân tay của nó lại mở được máy của mình luôn ấy không biết là do máy bị sao hay không ạ ???,"[[25, 47, 'GENERAL#POSITIVE'], [107, 154, 'FEATURES#NEGATIVE']]","[('cảm thấy tất cả đều ổn', 'GENERAL#POSITIVE'), ('vân tay của nó lại mở được máy của mình luôn ấy', 'FEATURES#NEGATIVE')]"
38,"Màu sắc màn hình quá tệ, tẻ nhạt từ trước tôi giờ mới thấy. Đừng ai mua nữa mua rồi hối hận","[[0, 32, 'SCREEN#NEGATIVE']]","[('Màu sắc màn hình quá tệ, tẻ nhạt', 'SCREEN#NEGATIVE')]"
39,"không thể tin nổi, nó quá tệ đúng là đồ đồng nát. Vứt rồi phí tiền. Cạch ba đời không bao giờ dùng hãng này.","[[0, 48, 'GENERAL#NEGATIVE'], [50, 66, 'PRICE#NEGATIVE'], [68, 107, 'SER&ACC#NEGATIVE']]","[('không thể tin nổi, nó quá tệ đúng là đồ đồng nát', 'GENERAL#NEGATIVE'), ('Vứt rồi phí tiền', 'PRICE#NEGATIVE'), ('Cạch ba đời không bao giờ dùng hãng này', 'SER&ACC#NEGATIVE')]"
40,mình vừa mua dùng chơi game thì khỏi nói nhưng còn về xem phim trên youtube bật SD rất mờ so với điện thoại khác bật SD,"[[18, 40, 'PERFORMANCE#POSITIVE'], [54, 90, 'SCREEN#NEGATIVE']]","[('chơi game thì khỏi nói', 'PERFORMANCE#POSITIVE'), ('xem phim trên youtube bật SD rất mờ ', 'SCREEN#NEGATIVE')]"
41,"Máy đẹp pin trâu, còn thiếu những tiện ích thông dụng trong cuộc sống, hđh dùng hơi rắc rối khi cài đặt phần mềm ngoài chplay. Máy ảnh đep","[[0, 7, 'DESIGN#POSITIVE'], [7, 16, 'BATTERY#POSITIVE'], [18, 125, 'PERFORMANCE#NEGATIVE'], [127, 138, 'CAMERA#POSITIVE']]","[('Máy đẹp', 'DESIGN#POSITIVE'), (' pin trâu', 'BATTERY#POSITIVE'), ('còn thiếu những tiện ích thông dụng trong cuộc sống, hđh dùng hơi rắc rối khi cài đặt phần mềm ngoài chplay', 'PERFORMANCE#NEGATIVE'), ('Máy ảnh đep', 'CAMERA#POSITIVE')]"
42,Ko hài lòg vì camera nắg gắt chụp mới đẹp còn bình thườg vào phòg chụp nó cứ mờ mờ ảo ảo kì lắm quay tik tok đen thui thua oppo f9 nua,"[[14, 134, 'CAMERA#NEGATIVE']]","[('camera nắg gắt chụp mới đẹp còn bình thườg vào phòg chụp nó cứ mờ mờ ảo ảo kì lắm quay tik tok đen thui thua oppo f9 nua', 'CAMERA#NEGATIVE')]"
43,Mua lúc mới có hàng. Sài tới bây giờ. Máy ổn. Lên mạng nhanh. Game cũng ổn. Trong tầm giá. Oppo lên mạng ổn hơn samsung. Hàng điện tử nên Sài cũng hên xui. Mình hên nên chưa thấy gì bất thường ở điện thoại này. Trước sài samsung mà giờ đổi qua oppo thấy ok hơn nhiều.,"[[38, 44, 'GENERAL#POSITIVE'], [46, 60, 'FEATURES#POSITIVE'], [62, 74, 'PERFORMANCE#POSITIVE'], [91, 119, 'FEATURES#POSITIVE']]","[('Máy ổn', 'GENERAL#POSITIVE'), ('Lên mạng nhanh', 'FEATURES#POSITIVE'), ('Game cũng ổn', 'PERFORMANCE#POSITIVE'), ('Oppo lên mạng ổn hơn samsung', 'FEATURES#POSITIVE')]"
44,"Vân tay nhận diện lâu quá, Chơi game tí là nóng máy. Chán. Thua con nova 3i, chiến game chả thấy nóng gì cả.","[[0, 25, 'FEATURES#NEGATIVE'], [27, 107, 'PERFORMANCE#NEGATIVE']]","[('Vân tay nhận diện lâu quá', 'FEATURES#NEGATIVE'), ('Chơi game tí là nóng máy. Chán. Thua con nova 3i, chiến game chả thấy nóng gì cả', 'PERFORMANCE#NEGATIVE')]"
45,Sản phẩm tồi tệ nhất tôi từng mua..............cực kì thất vọng vói con máy nàyTệ quá xá tệ,"[[0, 91, 'GENERAL#NEGATIVE']]","[('Sản phẩm tồi tệ nhất tôi từng mua..............cực kì thất vọng vói con máy nàyTệ quá xá tệ', 'GENERAL#NEGATIVE')]"
46,Máy dùng quá chán chơi game lag camera thì cũng chỉ tàm tạm lần đầu mua của hàng và vĩnh viễn k có lần sau,"[[0, 17, 'GENERAL#NEGATIVE'], [18, 31, 'PERFORMANCE#NEGATIVE'], [32, 59, 'CAMERA#NEUTRAL']]","[('Máy dùng quá chán', 'GENERAL#NEGATIVE'), ('chơi game lag', 'PERFORMANCE#NEGATIVE'), ('camera thì cũng chỉ tàm tạm', 'CAMERA#NEUTRAL')]"
47,"Mua được một tuần.thế giới di động. Pin sạc lâu, hết pin cũng nhanh.tương đương con vivo y85 của vợ mình. Nhưng vivo pin có 3200.loa nghe hơi rè rè. Được cái thiết kế cũng đẹp với tầm giá","[[41, 76, 'BATTERY#NEGATIVE'], [174, 195, 'DESIGN#POSITIVE'], [129, 141, 'BATTERY#NEGATIVE'], [142, 161, 'BATTERY#NEGATIVE']]","[(' Pin sạc lâu, hết pin cũng nhanh', 'BATTERY#NEGATIVE'), ('thiết kế cũng đẹp', 'DESIGN#POSITIVE'), ('pin có 3200', 'BATTERY#NEGATIVE'), ('loa nghe hơi rè rè', 'BATTERY#NEGATIVE')]"
48,Mới mua được gần 1 tuần dùng tất cả đều thấy ok mỗi cái pin hơn 5000 mà thấy tụt nhanh hơn con oppo f9 pin thấp hơn con này trước mình dùng. Chỉ có cái thấy pin tụt hơi nhanh còn lại đều ok hết.,"[[29, 47, 'GENERAL#POSITIVE'], [56, 174, 'BATTERY#NEGATIVE'], [175, 193, 'GENERAL#POSITIVE']]","[('tất cả đều thấy ok', 'GENERAL#POSITIVE'), ('pin hơn 5000 mà thấy tụt nhanh hơn con oppo f9 pin thấp hơn con này trước mình dùng. Chỉ có cái thấy pin tụt hơi nhanh', 'BATTERY#NEGATIVE'), ('còn lại đều ok hết', 'GENERAL#POSITIVE')]"
49,"Dùng đc một tuần. Thấy pin ngon. Thiết kế máy đẹp, màn to nhưng hơi tối và tái, Camera tầm Trung. Cảm ứng mượt, bắt wifi kém hơn các loại máy đang cùng xài. Tóm lại thích pin và thiết kế. Và cả thái độ phục vụ khách hàng trong mùa dịch.","[[18, 31, 'BATTERY#POSITIVE'], [33, 49, 'DESIGN#POSITIVE'], [51, 78, 'SCREEN#NEGATIVE'], [80, 96, 'CAMERA#NEUTRAL'], [98, 155, 'FEATURES#NEUTRAL']]","[('Thấy pin ngon', 'BATTERY#POSITIVE'), ('Thiết kế máy đẹp', 'DESIGN#POSITIVE'), ('màn to nhưng hơi tối và tái', 'SCREEN#NEGATIVE'), ('Camera tầm Trung', 'CAMERA#NEUTRAL'), ('Cảm ứng mượt, bắt wifi kém hơn các loại máy đang cùng xài', 'FEATURES#NEUTRAL')]"
50,"Đáp ứng tốt với đại đa số các ứng dụng thông thường như Facebook, Zalo, Youtube...máy chạy trên nền Android One nên rất nhẹ, nhạy và mượt mà. Phù hợp cho những ai cần một chiếc máy sử dụng đơn giản, không yêu cầu cao về tuỳ biến giao diện và những tính năng đặc biệt.","[[0, 140, 'PERFORMANCE#POSITIVE']]","[('Đáp ứng tốt với đại đa số các ứng dụng thông thường như Facebook, Zalo, Youtube...máy chạy trên nền Android One nên rất nhẹ, nhạy và mượt mà', 'PERFORMANCE#POSITIVE')]"
51,Vô đọc file pdf hay office trên Zalo hiện trì xem HTML xoay vòng vòng ko mở được,"[[0, 80, 'PERFORMANCE#NEGATIVE']]","[('Vô đọc file pdf hay office trên Zalo hiện trì xem HTML xoay vòng vòng ko mở được', 'PERFORMANCE#NEGATIVE')]"
